author_sort,title,series,series_index,Stars (out of 5)
"Aldrich-creasy, E. Marie",Where 45 Ends,,1,4
"Alexander, Caroline",The Endurance: Shackleton's Legendary Antarctic Expedition,,1,5
"Alexander, Devin",I Can't Believe It's Not Fattening!: Over 150 Ridiculously Easy Recipes for the Super Busy,,1,5
"Alexander, Lloyd",The Book of Three,The Chronicles of Prydain,1,5
"Alexander, Lloyd",The Black Cauldron,The Chronicles of Prydain,2,5
"Alexander, Lloyd",The Castle of Llyr,The Chronicles of Prydain,3,5
"Alexander, Lloyd",Taran Wanderer,The Chronicles of Prydain,4,5
"Alexander, Lloyd",The High King,The Chronicles of Prydain,5,5
"Alexander, Robert",Rasputin's Daughter,House of Romanov Trilogy,2,5
"Alexander, Robert",The Romanov Bride,House of Romanov Trilogy,3,5
"Alexander, Robert",The Kitchen Boy,House of Romanov Trilogy,4,3
"Alexander, Tasha",A Fatal Waltz,Lady Emily Ashton,3,5
"Alfonsi, Alice",Tron Legacy the Junior Novel,,1,5
"Algren, Nelson",The Man With the Golden Arm,,1,5
"Ali, Tariq",The duel: Pakistan on the flight path of American power,,1,5
"Ali, Thalassa",A Singular Hostage,The Paradise Trilogy,1,5
"Ali, Thalassa",A Beggar at the Gate,The Paradise Trilogy,2,5
"Ali, Thalassa",Companions of Paradise,The Paradise Trilogy,3,5
"Alighieri, Dante","Divine Comedy, The: Volume 1: Inferno",The Divine Comedy,1,5
Alistair & MacLean,Goodbye California,,1,5
"Allan, Christa",Walking on Broken Glass,,1,5
"Allen, David",Getting Things Done,,1,5
"Allen, Jeffrey G.",Instant Interviews: 101 Ways to Get the Best Job of Your Life,,1,5
"Allen, Judy",Confessions of an Event Planner: Case Studies From the Real World of Events--How to Handle the Unexpected and How to Be a Master of Discretion,,1,5
"Allen, Roger MacBride",Star Wars: Corellian Trilogy 1: Ambush at Corellia,Star Wars: 18 ABY,1,3
"Allen, Roger MacBride",Star Wars: Corellian Trilogy 2: Assault at Selonia,Star Wars: 18 ABY,2,3
"Allen, Roger MacBride",Star Wars: Corellian Trilogy 3: Showdown at Centerpoint,Star Wars: 18 ABY,3,3
"Allen, Sarah Addison",Garden Spells,,1,5
"Allen, Sarah Addison",The Girl Who Chased the Moon: A Novel,,1,5
"Allen, Sarah Addison",The Peach Keeper: A Novel,,1,5
"Allen, Sarah Addison",The Sugar Queen,,1,4
"Allen, Stewart Lee",In the Devil's Garden: A Sinful History of Forbidden Food,,1,5
"Allende, Isabel",Island Beneath the Sea,,1,5
"Alleyn, Susanne",Game of Patience,Aristide Ravel,1,5
"Alliott, Catherine",One Day in May,,1,5
"Allston, Aaron",Star Wars: X-Wing: Starfighters of Adumar,Star Wars: 13 ABY,1,3
"Allston, Aaron",Star Wars: Enemy Lines I: Rebel Dream,Star Wars: 27 ABY,3,3
"Allston, Aaron",Star Wars: Enemy Lines II: Rebel Stand,Star Wars: 27 ABY,4,3
"Allston, Aaron",Star Wars: Legacy of the Force: Betrayal,Star Wars: 40 ABY,1,3
"Allston, Aaron",Star Wars: Legacy of the Force: Exile,Star Wars: 40 ABY,4,3
"Allston, Aaron",Star Wars: Legacy of the Force: Fury,Star Wars: 40 ABY,7,3
"Allston, Aaron",Star Wars: Fate of the Jedi: Outcast,Star Wars: 43.5 ABY,1,3
"Allston, Aaron",Star Wars: Fate of the Jedi: Backlash,Star Wars: 43.5 ABY,4,3
