author_sort,title,series,series_index,Stars (out of 5)
"Bourne, J. L.",Beyond Exile: Day by Day Armageddon,Day by Day Armageddon,2,5
"Bourne, Sam",The Last Testament,,1,5
"Boutenko, Victoria",12 Steps to Raw Foods: How to End Your Dependency on Cooked Food,,1,5
"Boutenko, Victoria",Green for Life,,1,5
"Boutenko, Victoria",Green Smoothie Revolution: The Radical Leap Towards Natural Health,,1,5
"Boutenko, Victoria",Raw Family: A True Story of Awakening,,1,5
"Bova, Ben",The Hittite,,1,5
"Bowden, Mark",Black Hawk Down: A Story of Modern War,,1,4
"Bowden, Oliver",Renaissance,Assassin's Creed,1,5
"Bowden, Oliver",Assassin's Creed: Brotherhood,Assassin's Creed,2,5
"Bowen, Rhys",Royal Blood,A Royal Spyness Mystery,4,5
"Bowen, Rhys",Evan and Elle,Constable Evans,4,5
"Bowen, Rhys",Evanly Bodies,Constable Evans,10,5
"Bowen, Rhys",For the Love of Mike,Molly Murphy Mysteries,3,5
"Bowen, Rhys","Tell Me, Pretty Maiden",Molly Murphy Mysteries,7,5
"Bowen, Rhys",In a Gilded Cage,Molly Murphy Mysteries,8,5
"Bowen, Rhys",The Last Illusion,Molly Murphy Mysteries,9,5
"Bowley, Graham",No Way Down: Life and Death on K2,,1,5
"Box, C. J.",Winterkill,Joe Pickett,3,5
"Box, C. J.",Free Fire,Joe Pickett,7,5
"Box, C. J.",Blood Trail,Joe Pickett,8,5
"Box, C. J.",Nowhere to Run (A Joe Pickett Novel),Joe Pickett,10,5
"Box, C. J.",Cold Wind,Joe Pickett,11,5
"Boyd, Gregory A.",The Myth of a Christian Nation: How the Quest for Political Power Is Destroying the Church,,1,5
"Boyd, Gregory A.",The Myth of a Christian Religion: Losing Your Religion for the Beauty of a Revolution,,1,5
"Boyd, Noah",Agent X,Steve Vail,2,5
"Boyd, Noah",The Bricklayer,,1,5
"Boyd, William",Armadillo,,1,5
"Boyd, William",On the Yankee Station: Stories,,1,5
"Boyden, Joseph",Through Black Spruce: A Novel,,1,5
"Boyle, Frankie",My Shit Life So Far,,1,5
"Boyle, T. Coraghessan",Riven Rock,,1,5
"Boyne, John",The Boy in the Striped Pyjamas,,1,5
"Bracegirdle, P. J.",Fiendish Deeds,The Joy of Spooking,1,5
"Bradbury, Lorna",Ghost Stories,,1,5
"Bradbury, Ray",Something Wicked This Way Comes,Green Town,3,4
"Bradbury, Ray",A Graveyard for Lunatics: Another Tale of Two Cities,,1,4
"Bradbury, Ray",Driving Blind,,1,4
"Bradbury, Ray",Fahrenheit 451,,1,4
"Bradbury, Ray","Green shadows, white whale",,1,5
"Bradbury, Ray",The day it rained forever,,1,4
"Bradbury, Ray",The Illustrated Man,,1,4
"Bradbury, Ray",The Toynbee Convector,,1,4
"Bradby, Tom & Mansbach, Adam",The Master of Rain,,1,5
"Braddick, Michael J.","God's Fury, England's Fire: A New History of the English Civil Wars",,1,5
"Bradford, Chris",The Way of the Warrior,Young Samurai,1,5
"Bradford, Chris",Young Samurai: The Way of the Sword,Young Samurai,2,5
"Bradford, Chris",Young Samurai : The Way of the Dragon,Young Samurai,3,5
"Bradford, Chris",The Ring of Earth,Young Samurai,4,5
"Bradford, Chris",The Ring of Water,,1,5
"Bradford, Sarah","Lucrezia Borgia: life, love and death in Renaissance Italy",,1,5
"Bradford, Sarah","Lucrezia Borgia: Life, Love and Death in Renaissance Italy",,1,5
"Bradley, Darin",Noise,,1,5
"Bradley, James",The Imperial Cruise: A Secret History of Empire and War,,1,5
"Bradley, Laura",The Brush-Off: A Hair-Raising Mystery,,1,5
"Brady, Frank",Endgame: Bobby Fischer's Remarkable Rise and Fall - From America's Brightest Prodigy to the Edge of Madness,,1,5
"Bragg, Rick",The prince of Frogtown,,1,5
"Brake, Colin",Doctor Who: Escape Velocity,Doctor Who: Eight Doctor,42,4
"Brake, Colin",Doctor Who: The Price of Paradise,Doctor Who: New Series,12,1
"Brake, Colin",Doctor Who the Colony of Lies,Doctor Who: Past Adventures,61,3
"Brandeis, Gayle",Delta Girls,,1,5
"Brandel, Marc",The Mystery of the Kidnapped Whale,The Three Investigators,35,4
"Brandel, Marc",The Mystery of the Rogues' Reunion,The Three Investigators,40,3
"Brando, Marlon & Lindsey, Robert",Brando: Songs My Mother Taught Me,,1,5
"Brandon, Ruth","Ugly Beauty: Helena Rubinstein, L'Oréal, and the Blemished History of Looking Good",,1,5
"Brandreth, Gyles",Oscar Wilde and the Candlelight Murders,Oscar Wilde Murder Mysteries,1,4
"Brands, H. W.","American Colossus: The Triumph of Capitalism, 1865-1900",,1,5
"Brandvold, Peter",The Devil's Winchester,Bounty hunter Lou Prophet,8,5
"Branham, R. V.",Curse + Berate in 69+ Languages,,1,5
"Brashares, Ann",My Name Is Memory,,1,5
"Bray, Ilona & Schroeder, Alayna & Stewart, Marcia",Nolo's Essential Guide to Buying Your First Home,,1,5
"Brendon, Piers","The Decline and Fall of the British Empire, 1781-1997",,1,5
"Brenna, Helen",Along Came a Husband,An Island to Remember,4,4
"Brennan, Allison",Speak No Evil: A Novel,,1,5
"Brennan, Marie",A Star Shall Fall,Onyx Court,3,4
"Brenner-Wonschick, Hannelore & Brenner, Hannelore","The Girls of Room 28: Friendship, Hope, and Survival in Theresienstadt",,1,5
"Brett, Peter V.",The painted man,Demon Trilogy,1,3
"Brett, Peter V.",The Desert Spear,Demon Trilogy,2,5
"Brett, Peter V.",The Great Bazaar and Other Stories,Demon Trilogy,4,4
"Bretton, Barbara",Laced with Magic,Sugar Maple,1,4
"Brewer, Sonny",Cormac: The Tale of a Dog Gone Missing,,1,5
"Bried, Erin",How to Build a Fire: And Other Handy Things Your Grandfather Knew,,1,5
"Briggs, Ian",Doctor Who: Dragonfire,Doctor Who: Target,137,3
"Briggs, Ian",Doctor Who: The Curse of Fenric,Doctor Who: Target,151,3
"Briggs, Patricia",River Marked,Mercy Thompson,6,5
"Briggs, Patricia",Masques,,1,5
"Briggs, Patricia",When Demons Walk,,1,5
"Briggs, Patricia",Wolfsbane,,1,5
"Bright, Elizabeth",Invitation to murder: a card-making mystery,Card-Making Mysteries,1,3
"Bright, Elizabeth",Deadly Greetings: A Card-making Mystery,Card-Making Mysteries,2,3
"Bright, Elizabeth",Murder and Salutations,Card-Making Mysteries,3,5
"Bright, Susie",Big Sex Little Death: A Memoir,,1,5
"Brillat-savarin, Jean Anthelme & Fisher, M. F. K.",The Physiology of Taste: Or Meditations on Transcendental Gastronomy,,1,5
"Brin, David",The Postman,,1,4
"Brinkley, Alan",The Publisher: Henry Luce and His American Century,,1,5
"Britton, Pamela",Tempted,,1,5
"Brizendine, Louann & M.D.",The Male Brain,,1,3
"Brock, Anne",Give me liberty,,1,3
"Brockmann, Suzanne",The Unsung Hero,Troubleshooter,1,4
"Brockmann, Suzanne",Over the Edge,Troubleshooter,3,3
"Brockmann, Suzanne",Breaking the Rules: A Novel,Troubleshooters,16,5
"Brockmeier, Kevin",The Illumination: A Novel,,1,5
"Brockway, Robert",Everything Is Going to Kill Everybody: The Terrifyingly Real Ways the World Wants You Dead,,1,5
"Brokaw, Charles",The Atlantis Code,,1,4
"Bronson, Po & Merryman, Ashley",NurtureShock: new thinking about children,,1,5
"Bronte, Anne",Agnes Grey,,1,5
"Bronte, Charlotte",Jane Eyre,,1,5
"Bronte, Charlotte",Jane Eyre,,1,5
"Bronte, Emily Jane",Wuthering Heights,,1,5
"Brookmyre, Christopher",Pandaemonium,,1,5
"Brooks, David","The Social Animal: The Hidden Sources of Love, Character, and Achievement",,1,5
"Brooks, Geraldine",Caleb's Crossing,,1,5
"Brooks, Geraldine",Foreign Correspondence: A Pen Pal's Journey From Down Under to All Over,,1,5
"Brooks, Geraldine",March,,1,5
"Brooks, Geraldine",Nine Parts of Desire: The Hidden World of Islamic Women,,1,5
"Brooks, Geraldine",Year of wonders: a novel of the plague,,1,5
"Brooks, Helen",Millionaire's women,,1,5
"Brooks, Max",The zombie survival guide: complete protection from the living dead,,1,3
"Brooks, Max",World War Z: An Oral History of the Zombie War,,1,5
"Brooks, Terry",Running with the Demon,Shannara Universe: Chronological,1,4
"Brooks, Terry",The Sword of Shannara,Shannara Universe: Chronological,2,4
"Brooks, Terry",Armageddon's Children,Shannara Universe: Chronological,4,4
"Brooks, Terry",The First King of Shannara,Shannara Universe: Chronological,7,4
"Brooks, Terry",Ilse Witch,Shannara Universe: Chronological,9,4
"Brooks, Terry",High druid of Shannara: Jarka Ruus,Shannara Universe: Chronological,18,4
"Brooks, Terry",The Magic Kingdom of Landover: Volume 1,The Magic Kingdom of Landover,1,5
"Brooks, Terry",The Magic Kingdom of Landover: Volume 2,The Magic Kingdom of Landover,4,5
"Brooks, Terry",A Princess of Landover,The Magic Kingdom of Landover,6,5
"Brooks, Terry",Bearers of the Black Staff,,1,4
"Brooks, Terry",Sometimes the Magic Works: Lessons From a Writing Life,,1,5
"Brooks, Terry & Lucas, George",Star Wars: Episode I: The Phantom Menace,Star Wars: 32 BBY,1,3
"Brothers, Grimm",Grimm's Fairy Tales,,1,5
"Brouwer, Sigmund",Flight of Shadows,,1,5
"Brown, Alton",I'm Just Here for the Food: Version 2.0,,1,5
"Brown, Dan",Angels & Demons,Robert Langdon,1,5
"Brown, Dan",The Da Vinci Code,Robert Langdon,2,4
"Brown, Dan",The Lost Symbol,Robert Langdon,3,5
"Brown, Dan",Deception Point,,1,4
"Brown, David Wayne",Beat Your Ticket: Go to Court & Win,,1,5
"Brown, Deborah M.",Snow,,1,5
"Brown, Eric",Kethani,Kethani,1,4
"Brown, Eric",Engineman,,1,5
"Brown, Graham",Black Rain: A Thriller,,1,5
"Brown, Graham",Black Sun: A Thriller,,1,5
"Brown, Harriet",Brave Girl Eating: A Family's Struggle With Anorexia,,1,5
"Brown, Ian",The Boy in the Moon: A Father's Search for His Disabled Son,,1,3
"Brown, Janelle",This Is Where We Live,,1,5
"Brown, Jeff",Stanley and the Magic Lamp,Flat Stanley,3,5
"Brown, Jeff & Greenhut, Josh & Pamintuan, MacKy",The Amazing Mexican Secret,Flat Stanley's worldwide adventure,5,5
"Brown, Jeff & Greenhut, Josh & Pamintuan, MacKy",The African Safari Discovery,Flat Stanley's worldwide adventure,6,5
"Brown, Jeff & Nash, Scott",Flat Stanley,Flat Stanley,1,5
"Brown, Jennifer",Hate List,,1,5
"Brown, John",Servant of a Dark God,The Dark Gods,1,5
"Brown, Mike",How I Killed Pluto and Why It Had It Coming,,1,5
"Brown, Nancy Marie",The Abacus and the Cross: The Story of the Pope Who Brought the Light of Science to the Dark Ages,,1,5
"Brown, Pat & Andelman, Bob",The Profiler: My Life Hunting Serial Killers and Psychopaths,,1,5
"Brown, Rita Mae",A Nose for Justice,,1,5
"Brown, Sandra",Tough Customer: A Novel,,1,5
"Brown, Scott","Against All Odds: My Life of Hardship, Fast Breaks, and Second Chances",,1,5
"Browning, Robert",Childe Roland to the Dark Tower Came,,1,4
"Browning, Robert",The Pied Piper of Hamlin,,1,4
"Brownworth, Lars",Lost to the West: The Forgotten Byzantine Empire That Rescued Western Civilization,,1,5
"Bruce, Alison",Cambridge Blue,,1,5
"Bruen, Ken",Cross,Jack Taylor,6,5
"Bryant, Howard",The Last Hero: A Life of Henry Aaron,,1,5
"Bryson, Bill",A short history of nearly everything,,1,5
"Bryson, Bill",A walk in the woods: rediscovering America on the Appalachian Trail,,1,5
"Bryson, Bill",I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,,1,5
"Bryson, Bill",Neither here nor there: travels in Europe,,1,5
"Bryson, Bill",Seeing further: the story of science & the Royal Society,,1,5
"Buchanan, Cathy Marie",The Day the Falls Stood Still,,1,5
"Bucher-Jones, Simon",Doctor Who: The Death of Art,Doctor Who: New Adventures,54,3
"Bucher-Jones, Simon & Clapham, Mark",Doctor Who: The Taking of Planet 5,Doctor Who: Eight Doctor,28,3
"Bucher-Jones, Simon & Hale, Kelly",Doctor Who: Grimm Reality,Doctor Who: Eight Doctor,50,4
"Buckell, Tobias S.",Halo: The Cole Protocol,Halo,6,4
"Buckley, Christopher",Florence of Arabia,,1,3
"Buckley, Christopher",Thank You for Smoking,,1,3
"Budiansky, Stephen","Perilous Fight: America's Intrepid War With Britain on the High Seas, 1812-1815",,1,5
"Buecheler, Christopher",The Blood That Bonds,,1,5
"Buettner, Robert",Overkill,,1,5
"Buffett, Jimmy",A salty piece of land,,1,5
"Buffett, Jimmy & Bransford, Helen",Swine Not?: A Novel Pig Tale,,1,5
"Buford, Bill","Heat: An Amateur's Adventures as Kitchen Slave, Line Cook, Pasta-Maker, and Apprentice to a Dante-Quoting Butcher in Tuscany",,1,5
"Bujold, Lois McMaster",The Curse of Chalion,Chalion,1,5
"Bukowski, Charles",Women,,1,3
"Bulgakov, Mikhail",The Master and Margarita,,1,5
"Bulgakov, Mikhail",The White Guard,,1,4
"Bulis, Christopher",Doctor Who: Vanderdeken's Children,Doctor Who: Eight Doctor,14,3
"Bulis, Christopher",State of Change,Doctor Who: Missing Adventures,5,3
"Bulis, Christopher",The Eye of the Giant,Doctor Who: Missing Adventures,21,3
"Bulis, Christopher",Twilight of the Gods,Doctor Who: Missing Adventures,26,3
"Bulis, Christopher",A Device of Death,Doctor Who: Missing Adventures,31,3
"Bulis, Christopher",Doctor Who: Shadowmind,Doctor Who: New Adventures,16,4
"Bulis, Christopher",Doctor Who: Ultimate Treasure,Doctor Who: Past Adventures,3,3
"Bulis, Christopher",Doctor Who: City at World's End,Doctor Who: Past Adventures,25,3
"Bulis, Christopher",Doctor Who: Imperial Moon,Doctor Who: Past Adventures,34,3
"Bulis, Christopher",Doctor Who: Palace of the Red Sun,Doctor Who: Past Adventures,51,3
"Bullington, Jesse",The Enterprise of Death,,1,5
"Bullington, Jesse",The Sad Tale of the Brothers Grossbart,,1,5
"Bunch, Will","The Backlash: Right-Wing Radicals, High-Def Hucksters, and Paranoid Politics in the Age of Obama",,1,5
"Buntin, John",L.A. noir: the struggle for the soul of America's most seductive city,,1,5
"Bunting, Eve",The Summer of Riley,,1,5
"Burcell, Robin",The Bone Chamber,,1,5
"Burchell, Mary",The girl in the blue dress,,1,4
"Burdett, John",Bangkok 8,Sonchai Jitpleecheep,1,5
"Burdett, John",Bangkok Haunts,Sonchai Jitpleecheep,3,5
"Burdett, John",The Godfather of Kathmandu,,1,5
"Burgess, Anthony",A Clockwork Orange,,1,4
"Burgess, Tony",Pontypool Changes Everything,,1,5
"Burk, Kathleen & Bywater, Michael",Is This Bottle Corked?: The Secret Life of Wine,,1,5
"Burke, Declan",Eight Ball Boogie,,1,5
"Burke, Diane",Midnight Caller,,1,5
"Burke, James",The Day the Universe Changed,,1,5
"Burke, James Lee",Rain Gods,Hackberry Holland,2,5
"Burke, Tim & Burke, Michael",Die Happy: 499 Things Every Guy's Gotta Do While He Still Can,,1,5
"Burleigh, Michael",Blood and Rage: A Cultural History of Terrorism,,1,5
"Burnett, Frances Hodgson",The Secret Garden,,1,5
"Burnside, John",The Glister,,1,3
"Burpo, Todd & Burpo, Sonja & Vincent, Lynn & Burpo, Colton",Heaven Is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,,1,5
"Burroughs, Augusten",Dry: A Memoir,,1,5
"Burroughs, Augusten",Magical Thinking,,1,5
"Burroughs, Augusten",Running With Scissors: A Memoir,,1,5
"Burroughs, Augusten",Sellevision,,1,5
"Burroughs, Edgar Rice",Tarzan of the apes,,1,5
"Burroughs, William S.",Naked Lunch: The Restored Text,,1,3
"Burrows, Annie",The Viscount and the Virgin,,1,5
"Burton, Chris",Alpha One,,1,5
"Burton, Jaci",Surviving Demon Island,Demon Hunters,1,3
"Burton, Jaci",Hunting the Demon,Demon Hunters,2,3
"Burton, Jaci",The Darkest Touch,Demon Hunters,3,5
"Burton, Jaci",Taken by Sin,Demon Hunters,4,5
"Burton, Jaci","Bound, Branded, & Brazen",,1,5
"Burton, Lynda","Oh Lord, Help Me Keep My Panties on",,1,5
"Bush, George W.",Decision Points,,1,5
"Bush, Laura",Spoken from the Heart,,1,5
"Bushnell, Candace",One Fifth Avenue,,1,5
"Butcher, Jim",Furies of Calderon,Codex Alera,1,4
"Butcher, Jim",Academ's Fury,Codex Alera,2,4
"Butcher, Jim",Cursor's Fury,Codex Alera,3,4
"Butcher, Jim",Captain's Fury,Codex Alera,4,4
"Butcher, Jim",Princeps' fury,Codex Alera,5,4
"Butcher, Jim",First Lord's Fury,Codex Alera,6,4
"Butcher, Jim",Storm Front,The Dresden Files,1,5
"Butcher, Jim",Fool Moon,The Dresden Files,2,5
"Butcher, Jim",Grave Peril,The Dresden Files,3,5
"Butcher, Jim",Summer Knight,The Dresden Files,4,5
"Butcher, Jim",Death Masks,The Dresden Files,5,5
"Butcher, Jim",Blood Rites,The Dresden Files,6,5
"Butcher, Jim",Dead Beat,The Dresden Files,7,5
"Butcher, Jim",Proven Guilty,The Dresden Files,8,5
"Butcher, Jim",White Night,The Dresden Files,9,5
"Butcher, Jim",Small Favor,The Dresden Files,10,5
"Butcher, Jim",Turn Coat,The Dresden Files,11,5
"Butcher, Jim",Changes,The Dresden Files,12,5
"Butcher, Jim",Side Jobs,The Dresden Files,12.1,5
"Butler, Octavia E.",Fledgling: a novel,,1,3
"Butturini, Paula",Keeping the Feast,,1,5
"Buxbaum, Julie",After You,,1,3
"Byers, Richard Lee",Unclean: The Haunted Lands,Forgotten Realms: The Haunted Lands,1,5
"Byers, Richard Lee",Undead: The Haunted Lands,Forgotten Realms: The Haunted Lands,2,5
"Byers, Richard Lee",Unholy: The Haunted Lands,Forgotten Realms: The Haunted Lands,3,5
"Byers, Richard Lee",The Ruin,Forgotten realms: Year of rogue dragons,3,5
"Byrne, David",Bicycle Diaries,,1,5
"Byrnes, Michael",The Genesis Plague,Thomas Flaherty,1,5
"Byson, Bill",Notes from a Small Island,,1,4
"Cabot, Meg",Abandon,Abandon trilogy,1,5
"Cadbury, Deborah",Chocolate Wars: The 150-Year Rivalry Between the World's Greatest Chocolate Makers,,1,5
"Caggiano, Biba",Biba's Northern Italian Cooking,,1,5
"Cain, James M.",Double Indemnity,,1,4
"Cain, James M.",Love's lovely counterfeit,,1,4
"Cain, James M.",Mildred Pierce,,1,4
"Cain, James M.",Serenade,,1,4
"Cain, James M.",The Butterfly,,1,4
"Cain, Tom",The Accident Man,Samuel Carver,1,5
"Caine, Michael",The Elephant to Hollywood,,1,5
"Caine, Rachel",Carpe Corpus,Morganville vampires,6,5
"Caine, Rachel",Fade Out,Morganville vampires,7,5
"Caine, Rachel",Kiss of Death,Morganville vampires,8,5
"Caldwell, Gail",Let's Take the Long Way Home: A Memoir of Friendship,,1,5
"Caldwell, Laura",Look Closely,,1,5
"Callan, Michael Feeney",Robert Redford,,1,5
"Callow, Pamela",Damaged,,1,5
"Calvino, Italo",Why Read the Classics?,,1,5
"Calvino, Italo & McLaughlin, Martin",Hermit in Paris: Autobiographical Writings,,1,5
"Cameron, Christian",Killer of Men,,1,5
"Cameron, Dana",Past Malice: An Emma Fielding Mystery,Emma Fielding Mysteries,3,5
"Cameron, Dana",A Fugitive Truth: An Emma Fielding Mystery,Emma Fielding Mysteries,4,5
"Cameron, Dana",More Bitter Than Death: An Emma Fielding Mystery,Emma Fielding Mysteries,5,5
"Cameron, Dana",Ashes and Bones: An Emma Fielding Mystery,Emma Fielding Mysteries,6,5
"Cameron, Kenneth",The Frightened Man,The Denton series,1,5
"Cameron, Kenneth",The Bohemian Girl,The Denton series,2,5
"Cameron, W. Bruce",A Dog's Purpose,,1,5
"Campbell, Alan",Sea of Ghosts,Gravedigger,1,5
"Campbell, Barbara",Bloodstone,Trickster's Game,2,4
"Campbell, Clifton",The Glades,,1,5
"Campbell, Donovan","Joker One: A Marine Platoon's Story of Courage, Leadership, and Brotherhood",,1,5
"Campbell, Ellie",When Good Friends Go Bad,,1,5
"Campbell, Joseph",Myths to live by,,1,4
"Campbell, Joseph & Moyers, Bill D. & Flowers, Betty S.",The power of myth,,1,4
"Camus, Albert",The Stranger,,1,5
"Canavan, Trudi",The Magician's Apprentice,,1,5
"Canavan, Trudi",The Rogue,,1,5
"Canham, Marsha",In the Shadow of Midnight,,1,5
"Canham, Marsha",Through a Dark Mist,,1,5
"Cannato, Vincent J.",American Passage: The History of Ellis Island,,1,5
"Cannell, Stephen J.",King Con,,1,5
"Cantrell, Christian",Containment,,1,4
"Capote, Truman",Breakfast at Tiffany's,,1,3
"Capote, Truman",In Cold Blood,,1,5
"Capote, Truman & Berendt, John","Other Voices, Other Rooms",,1,5
"Caputo, Philip",Acts of Faith,,1,5
"Caputo, Philip",Crossers,,1,3
"Capuzzo, Michael",The Murder Room,,1,5
"Capuzzo, Michael",The Murder Room: The Heirs of Sherlock Holmes Gather to Solve the World's Most Perplexing Cold Cases,,1,5
"Carcaterra, Lorenzo",Apaches,,1,5
"Carcaterra, Lorenzo",Sleepers,,1,5
"Card, Orson Scott",Empire,Empire Series,1,3
"Card, Orson Scott",Ender's Game,Ender's Game: Chronological Order,1,5
"Card, Orson Scott",Speaker for the Dead,Ender's Game: Chronological Order,2,5
"Card, Orson Scott",Xenocide,Ender's Game: Chronological Order,3,5
"Card, Orson Scott",Children of the Mind,Ender's Game: Chronological Order,4,5
"Card, Orson Scott",A War of Gifts: An Ender Story,Ender's Game: Chronological Order,5,5
"Card, Orson Scott",Ender in Exile,Ender's Game: Chronological Order,6,5
"Card, Orson Scott",The Shadow of the Hegemon,Ender's Game: Chronological Order,7,4
"Card, Orson Scott",Shadow puppets,Ender's Game: Chronological Order,8,3
"Card, Orson Scott",Shadow of the Giant,Ender's Game: Chronological Order,9,4
"Card, Orson Scott",First Meetings: In Ender's Universe,First Meetings,1,4
"Card, Orson Scott",The Memory of Earth,Homecoming Saga,1,4
"Card, Orson Scott",The Call of Earth,Homecoming Saga,2,4
"Card, Orson Scott",The Ships of Earth,Homecoming Saga,3,4
"Card, Orson Scott",Earthfall,Homecoming Saga,4,4
"Card, Orson Scott",Earthborn,Homecoming Saga,5,3
"Card, Orson Scott",The Lost Gate,Mithermages,1,5
"Card, Orson Scott",Pastwatch: The Redemption of Christopher Columbus,Pastwatch,1,4
"Card, Orson Scott",Pathfinder,Serpent World,1,5
"Card, Orson Scott",Seventh Son,The Tales of Alvin Maker,1,4
"Card, Orson Scott",Red Prophet,The Tales of Alvin Maker,2,4
"Card, Orson Scott",Prentice Alvin,The Tales of Alvin Maker,3,4
"Card, Orson Scott",Alvin Journeyman,The Tales of Alvin Maker,4,4
"Card, Orson Scott",Heartfire,The Tales of Alvin Maker,5,4
"Card, Orson Scott",The Crystal City,The Tales of Alvin Maker,6,4
"Card, Orson Scott",Clap Hands & Sing,,1,3
"Card, Orson Scott",Enchantment,,1,4
"Card, Orson Scott",Flux,,1,4
"Card, Orson Scott",Hart's Hope,,1,3
"Card, Orson Scott",How to Write Science Fiction and Fantasy,,1,3
"Card, Orson Scott",Keeper of Dreams,,1,5
"Card, Orson Scott",Lost Boys,,1,3
"Card, Orson Scott",Magic Street,,1,5
"Card, Orson Scott",Monkey Sonatas,,1,5
"Card, Orson Scott",Songmaster,,1,3
"Card, Orson Scott",Treason,,1,3
"Card, Orson Scott",Treasure Box,,1,3
"Card, Orson Scott",Wyrms,,1,3
"Card, Orson Scott & Kidd, Kathryn H.",Lovelock,,1,5
"Carey, David & Morris, John E. & Morris, John","King of Capital: The Remarkable Rise, Fall, and Rise Again of Steve Schwarzman and Blackstone",,1,5
"Carey, Diane",Ghost Ship,Star Trek: TNG,2,3
"Carey, Diane",Day of Honor 01: Ancient Blood,Star Trek: TNG,62,3
"Carey, Diane",Ship of the Line,Star Trek: TNG,63,3
"Carey, Diane",Double Helix 03: Red Sector,Star Trek: TNG,78,3
"Carey, Diane & David, Peter & DeCandido, Keith R. A. & Greenberger, Robert & Wright, Susan & Golden, Christie",Gateways 07: What Lay Beyond,Star Trek: TNG,99,3
"Carey, Jacqueline",Naamah's Curse,Kushiel's legacy,8,5
"Carey, M. V.",The Mystery of the Flaming Footprints,The Three Investigators,15,4
"Carey, M. V.",The Mystery of the Singing Serpent,The Three Investigators,17,4
"Carey, M. V.",The Mystery of the Monster Mountain,The Three Investigators,20,4
"Carey, M. V.",The Secret of the Haunted Mirror,The Three Investigators,21,4
"Carey, M. V.",The Mystery of the Invisible Dog,The Three Investigators,23,4
"Carey, M. V.",The Mystery of the Death Trap Mine,The Three Investigators,24,4
"Carey, M. V.",The Mystery of the Magic Circle,The Three Investigators,27,4
"Carey, M. V.",The Mystery of Sinister Scarecrow,The Three Investigators,29,3
"Carey, M. V.",The Mystery of the Scar-Faced Beggar,The Three Investigators,31,4
"Carey, M. V.",The Mystery of the Blazing Cliffs,The Three Investigators,32,4
"Carey, M. V.",The Mystery of Wandering Caveman,The Three Investigators,34,4
"Carey, Peter",30 Days in Sydney: A Wildly Distorted Account,,1,5
"Carey, Peter",Illywhacker: A Novel,,1,5
"Carey, Peter",My Life as a Fake: A Novel,,1,5
"Carey, Peter",The Tax Inspector,,1,5
"Carey, Peter",The Unusual Life of Tristan Smith,,1,5
"Carey, Peter",True History of the Kelly Gang,,1,5
"Carillo, Charlie",Raising Jake,,1,4
"Carl, Lillian S",The Vorkosigan Companion,Vorkosigan: Chronological Order,1,5
"Carlin, George",Napalm and Silly Putty,,1,5
"Carlin, George",When Will Jesus Bring the Pork Chops?,,1,5
"Carlson, Melody",Catwalk,,1,5
"Carlson, Melody",Crystal Lies,,1,5
"Carlton, Mellick",Satan Burger,,1,5
"Carmody, Isobelle",Night gate,Gateway,1,5
"Carmody, Isobelle",Winter door,Gateway,2,5
"Carnegie, Dale",How to Win Friends and Influence People,,1,3
"Carnes, Cara",Wolf,,1,5
"Carnoy, David",Knife Music,,1,5
"Caroll, Robin",Dead Air,,1,5
"Carpender, Dana",1001 Low-Carb Recipes: Hundreds of Delicious Recipes From Dinner to Dessert That Let You Live Your Low-Carb Lifestyle and Never Look Back,,1,5
"Carpenter, Novella",Farm City: The Education of an Urban Farmer,,1,5
"Carr, Caleb",The Alienist,Dr. Kreizler,1,5
"Carr, Emily & Bridge, Kathryn",Klee Wyck,,1,5
"Carr, Robyn",Harvest Moon,Virgin River,13,5
"Carr, Robyn",Sheltering Hearts,,1,5
"Carr, Robyn & Brashear, Jean & Dahl, Victoria",Midnight Kiss: Midnight Confessions\Midnight Surrender\Midnight Assignment,,1,5
"Carré, John le",Our Kind of Traitor,,1,5
"Carriger, Gail",Blameless,Parasol Protectorate,3,5
"Carroll, Lewis",Alice's Adventures in Wonderland and Through the Looking-Glass,Alice's Adventures,1,5
"Carroll, Sean",From Eternity to Here,,1,5
"Carson, Dale C. & Denham, Wes","Arrest-Proof Yourself: An Ex-Cop Reveals How Easy It Is for Anyone to Get Arrested, How Even a Single Arrest Could Ruin Your Life, and What to Do if the Police Get in Your Face",,1,5
"Carter, Bill",The War for Late Night: When Leno Went Early and Television Went Crazy,,1,5
"Carter, Carmen",The Children of Hamlin,Star Trek: TNG,4,3
"Carter, Carmen",The Devil's Heart,Star Trek: TNG,33,3
"Carter, Charlotte",Trip Wire: A Cook County Mystery,,1,5
"Carter, Chris",The Crucifix Killer,,1,5
"Carter, Miranda","George, Nicholas and Wilhelm: Three Royal Cousins and the Road to World War I",,1,5
"Carter, Philip",The Altar of Bones,,1,5
"Carter, Stephen L.",The Emperor of Ocean Park,,1,5
"Cartmel, Andrew",Doctor Who: Cat's Cradle: Warhead,Doctor Who: New Adventures,6,4
"Cartmel, Andrew",Doctor Who: Warlock,Doctor Who: New Adventures,34,4
"Cartmel, Andrew",Doctor Who: Warchild,Doctor Who: New Adventures,47,3
"Cartmel, Andrew",Doctor Who: Atom Bomb Blues,Doctor Who: Past Adventures,76,3
